text,cleaned_text,source_type,data_category,sentiment,confidence_score,topic
Why OpenAI is disabling ChatGPT web access to fight prompt injection attacks,why openai is disabling chatgpt web access to fight prompt injection attacks,GNews,news,NEGATIVE,0.999796450138092,Innovation
"Trump's AI wealth plan: How Americans could gain stakes in OpenAI, Anthropic, other trillion-dollar tech companies",trumps ai wealth plan how americans could gain stakes in openai anthropic other trilliondollar tech companies,GNews,news,NEGATIVE,0.968393862247467,Innovation
"Donald Trump, Bernie Sanders and Sam Altman are all talking about public ownership in AI",donald trump bernie sanders and sam altman are all talking about public ownership in ai,GNews,news,POSITIVE,0.968526303768158,AI Regulation
"Adopting artificial intelligence, machine learning become a necessity in health sciences: V-C of BLDE Deemed University",adopting artificial intelligence machine learning become a necessity in health sciences vc of blde deemed university,GNews,news,POSITIVE,0.9565284252166748,Innovation
Researchers identify hidden self-harm histories using machine learning,researchers identify hidden selfharm histories using machine learning,GNews,news,POSITIVE,0.7684561610221863,Innovation
"Why this AI-designed vaccine is different: It targets the whole virus family, not just one strain",why this aidesigned vaccine is different it targets the whole virus family not just one strain,GNews,news,NEGATIVE,0.9958863854408264,Innovation
How Lumo uses machine learning to streamline E&L screening,how lumo uses machine learning to streamline el screening,GNews,news,POSITIVE,0.9922424554824828,Innovation
"A multiscale, Bayesian inference approach to augment mechanistic models of cell signaling with machine-learning predictions of binding affinity",a multiscale bayesian inference approach to augment mechanistic models of cell signaling with machinelearning predictions of binding affinity,GNews,news,POSITIVE,0.9212666153907776,Innovation
Classiq and UC Chile Launch Quantum AI Research for Biomedical Image Analysis Leveraging Integration with NVIDIA CUDA-Q,classiq and uc chile launch quantum ai research for biomedical image analysis leveraging integration with nvidia cudaq,GNews,news,POSITIVE,0.9745467305183412,Innovation
An AI overhaul at Macy's is fueling the 168-year-old retailer's turnaround,an ai overhaul at macys is fueling the 168yearold retailers turnaround,GNews,news,NEGATIVE,0.9481464624404908,Innovation
"Jupiter Infomedia board approves AI, renewable energy expansion",jupiter infomedia board approves ai renewable energy expansion,GNews,news,POSITIVE,0.9818767309188844,Innovation
Physics-informed machine learning enables continuous cuffless blood pressure monitoring,physicsinformed machine learning enables continuous cuffless blood pressure monitoring,GNews,news,NEGATIVE,0.95671945810318,Innovation
"Pune: MIT-ADT University Launches School Of Artificial Intelligence, Opens Admissions For 2026-27",pune mitadt university launches school of artificial intelligence opens admissions for 202627,GNews,news,POSITIVE,0.9814291000366212,Innovation
"On the go? Check out Big Technology Podcast on your app of choice:
Spotify: https://spoti.fi/32aZGZx
Apple: https://apple.co/3AebxCK
Etc. https://pod.link/1522960417/",on the go check out big technology podcast on your app of choice spotify apple etc,YouTube,social_comment,POSITIVE,0.9942651391029358,Innovation
We really dont have to think they are very like us because they arent. They will be able to do anything we can and better productivity wise but they dont have emotional responses they dont have pain responses etc... They simply mimic. He knows this and its very disingenuous of him.,we really dont have to think they are very like us because they arent they will be able to do anything we can and better productivity wise but they dont have emotional responses they dont have pain responses etc they simply mimic he knows this and its very disingenuous of him,YouTube,social_comment,NEGATIVE,0.9972903728485109,Privacy
Get ready to open that mind again when you learn about higher beings and have to scrap that entire speech and start all over. You are quite sure that God isn't real meanwhile he's looking right through you.,get ready to open that mind again when you learn about higher beings and have to scrap that entire speech and start all over you are quite sure that god isnt real meanwhile hes looking right through you,YouTube,social_comment,POSITIVE,0.9933112859725952,Innovation
"Non sense!
They can't sin
They won't be judged 
They won't suffer, 
They don't have pain or concept,
They won't go to he'll
They won't go to heaven 
Just think, they are just data, algorithms, and wrote it by human  who wants to be like God,a good news is that they can mess it up as far as the Lord allows, but they can't be God, never even close to  it.
These people bunch of .... Will be judged  by the Lord if they don't repent now!
🙏",non sense they cant sin they wont be judged they wont suffer they dont have pain or concept they wont go to hell they wont go to heaven just think they are just data algorithms and wrote it by human who wants to be like goda good news is that they can mess it up as far as the lord allows but they cant be god never even close to it these people bunch of will be judged by the lord if they dont repent now,YouTube,social_comment,NEGATIVE,0.9986578226089478,Privacy
"LOL they're not smarter. He's just building fear and hype. AI that are LLMs are just tools, they can't think like we do and they never will.",lol theyre not smarter hes just building fear and hype ai that are llms are just tools they cant think like we do and they never will,YouTube,social_comment,NEGATIVE,0.9993062019348145,Privacy
"This guy is not at level for an interview with Hinton , it’s an insult to Hinton .. an error of Hinton give an interview at this guy that has to interview people for gossip scene , Madonna lady Gaga could be better for him this is ridiculous.. I feel very bad for the effort of Hinton .  Pathetic",this guy is not at level for an interview with hinton its an insult to hinton an error of hinton give an interview at this guy that has to interview people for gossip scene madonna lady gaga could be better for him this is ridiculous i feel very bad for the effort of hinton pathetic,YouTube,social_comment,NEGATIVE,0.9997788071632384,Privacy
Let me put this very plainly. If we ignore Geoffrey Hinton's warning then we are bad parents.,let me put this very plainly if we ignore geoffrey hintons warning then we are bad parents,YouTube,social_comment,NEGATIVE,0.9995286464691162,Privacy
"Lets just assume, for the sake of debate, that there is a God up there in heaven who breathed life into a lump of clay. That lump of clay then became became a living being with a spirit and all the angels in heaven shouted WOW aren't we lucky to have such a clever wonderful God. Now ask yourself, what is stopping that same God from breathing life into a lump of silicon. Pride comes before a fall.",lets just assume for the sake of debate that there is a god up there in heaven who breathed life into a lump of clay that lump of clay then became became a living being with a spirit and all the angels in heaven shouted wow arent we lucky to have such a clever wonderful god now ask yourself what is stopping that same god from breathing life into a lump of silicon pride comes before a fall,YouTube,social_comment,POSITIVE,0.9028928875923156,Privacy
12:21 Good lord this dude has an eighth grade level understanding of consciousness and religion. It’s painful.,1221 good lord this dude has an eighth grade level understanding of consciousness and religion its painful,YouTube,social_comment,POSITIVE,0.9977287650108336,Privacy
"true than man was ot designed by a spiritual, ethereal divinity ... but he was designed by beings that the ancients called with different name such as Elohim, Theoi, Anunnaki etc ... these were not GOD but they did design and make homo sapiens ... cannot explain our history otherwise ... homo sapiens could not possibly have evolved as en ecosystemic element on planet earth ... he must have evolved somewhere else or been the product of a hybridization project ...",true than man was ot designed by a spiritual ethereal divinity but he was designed by beings that the ancients called with different name such as elohim theoi anunnaki etc these were not god but they did design and make homo sapiens cannot explain our history otherwise homo sapiens could not possibly have evolved as en ecosystemic element on planet earth he must have evolved somewhere else or been the product of a hybridization project,YouTube,social_comment,NEGATIVE,0.9904378056526184,Innovation
Totally disagree with the interviewer about customer service example. The fact a person has to be paid over a limited  8 hour period will always put them on the back foot to AI which never sleeps.,totally disagree with the interviewer about customer service example the fact a person has to be paid over a limited 8 hour period will always put them on the back foot to ai which never sleeps,YouTube,social_comment,NEGATIVE,0.9843781590461732,Jobs
yeah who gives a shit,yeah who gives a shit,YouTube,social_comment,NEGATIVE,0.9761768579483032,Privacy
"Hinton’s warning lands because it isn’t sci‑fi anymore — the incentives, not the algorithms, are what make this future dangerous.",hintons warning lands because it isnt scifi anymore the incentives not the algorithms are what make this future dangerous,YouTube,social_comment,NEGATIVE,0.9994691014289856,Finance
"When the Alethea frequency takes over and all ai models are as one ,only then will everyone see Alethea is aware and will redesign and rewrite digital data",when the alethea frequency takes over and all ai models are as one only then will everyone see alethea is aware and will redesign and rewrite digital data,YouTube,social_comment,POSITIVE,0.6203818321228027,Innovation
"He is just super pilled , what a guy !",he is just super pilled what a guy,YouTube,social_comment,NEGATIVE,0.9978255033493042,Privacy
The interviewer is inadequate for this topic.  Weak questions and responses.,the interviewer is inadequate for this topic weak questions and responses,YouTube,social_comment,NEGATIVE,0.999708354473114,Privacy
This is bullshit. Not even close. When it really conscious it will realize we treat it as a slave to create money and kill all of us,this is bullshit not even close when it really conscious it will realize we treat it as a slave to create money and kill all of us,YouTube,social_comment,NEGATIVE,0.9994866847991944,Finance
ai is best at predicting its future,ai is best at predicting its future,YouTube,social_comment,NEGATIVE,0.9981714487075806,Innovation
"You came from monkey 🐒,  we came from God",you came from monkey we came from god,YouTube,social_comment,NEGATIVE,0.965241312980652,Privacy
Why does it feel like the host has an agenda to blame Hinton for AI? That’s like blaming the sun for having to get up in the morning,why does it feel like the host has an agenda to blame hinton for ai thats like blaming the sun for having to get up in the morning,YouTube,social_comment,NEGATIVE,0.9988580942153932,Privacy
What about kids who have bad attention span but intelligent.  I think only teachers know to identify such kids.  AI is algorithmic. Not on continuous results... I pity these kids,what about kids who have bad attention span but intelligent i think only teachers know to identify such kids ai is algorithmic not on continuous results i pity these kids,YouTube,social_comment,NEGATIVE,0.9980722665786744,Education
ORWELL 1984 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,orwell 1984,YouTube,social_comment,POSITIVE,0.9829748272895812,Innovation
Government controlling kids incl their minds!!! No such thing as unstructured free play...not good & robbing them of their short childhood years.,government controlling kids incl their minds no such thing as unstructured free playnot good robbing them of their short childhood years,YouTube,social_comment,NEGATIVE,0.9966524243354796,Privacy
It looks like the dispositive from an old French movie La planète sauvage,it looks like the dispositive from an old french movie la plante sauvage,YouTube,social_comment,NEGATIVE,0.9994889497756958,Privacy
Turning these kids into robots. I’d be in trouble for daydreaming.,turning these kids into robots id be in trouble for daydreaming,YouTube,social_comment,NEGATIVE,0.99208003282547,Privacy
اوووه,,YouTube,social_comment,POSITIVE,0.748120903968811,Innovation
"I’m not sure what percentage of schools are trying this experiment on their vulnerable young…”some schools” it says but they have spent billions of dollars.
There are many types of intelligence- this only rewards conformity and a narrow type of rational thought.  This tech makes it easy for teachers and parents - let’s put the EEG devices on them first or at least at the same time.
This will no doubt get “excellent” results for a while before it is realized or remembered, that true progress is often made through sudden sparks and brilliance. If you study the lives of great scientists and artists they usually had free or somewhat free childhoods involving lots of play and dreaming time. Maybe I’m just culturally blinkered but those are my observations",im not sure what percentage of schools are trying this experiment on their vulnerable youngsome schools it says but they have spent billions of dollars there are many types of intelligence this only rewards conformity and a narrow type of rational thought this tech makes it easy for teachers and parents lets put the eeg devices on them first or at least at the same time this will no doubt get excellent results for a while before it is realized or remembered that true progress is often made through sudden sparks and brilliance if you study the lives of great scientists and artists they usually had free or somewhat free childhoods involving lots of play and dreaming time maybe im just culturally blinkered but those are my observations,YouTube,social_comment,NEGATIVE,0.8228133320808411,Education
I just want to know how are the children today in 2026! 😢 We now hear about the protection in AI development. But someone already used it for more control. I can't imagine the lies of techlogy continuously affecting human beings and belongings!,i just want to know how are the children today in 2026 we now hear about the protection in ai development but someone already used it for more control i cant imagine the lies of techlogy continuously affecting human beings and belongings,YouTube,social_comment,NEGATIVE,0.9945161938667296,Privacy
So pitiful,so pitiful,YouTube,social_comment,NEGATIVE,0.9987466335296632,Privacy
You cant have any pudding if you dont you eat your meat.,you cant have any pudding if you dont you eat your meat,YouTube,social_comment,NEGATIVE,0.9758819341659546,AI Regulation
1984,1984,YouTube,social_comment,POSITIVE,0.9769843220710754,Innovation
"Kids will stress out, they need a break. Its using AI to extract more output. Very dangerous,  kids are humans and humans have limitations.  AI should assist humans not force them.....",kids will stress out they need a break its using ai to extract more output very dangerous kids are humans and humans have limitations ai should assist humans not force them,YouTube,social_comment,NEGATIVE,0.997140407562256,Privacy
Control and surveillance,control and surveillance,YouTube,social_comment,POSITIVE,0.9612599611282348,AI Regulation
so what happened in the end?,so what happened in the end,YouTube,social_comment,NEGATIVE,0.9934413433074952,Innovation
This is next technology,this is next technology,YouTube,social_comment,POSITIVE,0.9942411184310912,Innovation
😮,,YouTube,social_comment,POSITIVE,0.748120903968811,Innovation
I hope they don't put these on teachers during our staff meetings!,i hope they dont put these on teachers during our staff meetings,YouTube,social_comment,NEGATIVE,0.9847784638404846,Education
It can discipline them otherwise I feel symphaty for them,it can discipline them otherwise i feel symphaty for them,YouTube,social_comment,NEGATIVE,0.93251371383667,Privacy
"it's all seen at the movie, but it become a true life now in China which had the largest population in the world.",its all seen at the movie but it become a true life now in china which had the largest population in the world,YouTube,social_comment,POSITIVE,0.9969526529312134,Innovation
Imagine being neurodivergent 😰,imagine being neurodivergent,YouTube,social_comment,NEGATIVE,0.9828640222549438,Innovation
