source,text,sentiment,confidence
youtube_comment,"Register here for free certification 

https://education.oracle.com/race-to-certification-2025",neutral,0.9153
youtube_comment,I need,neutral,0.8769
youtube_comment,VirtualBox? Also Oracle,neutral,0.9244
youtube_comment,UMBRELLA CORPORATION 👹,neutral,0.9492
youtube_comment,ORACLE JUST GOT MY LOCATION,neutral,0.9368
youtube_comment,Omg this is out casting,neutral,0.786
youtube_comment,Oracle is the nestle of tech both of them insanely evil and powerful and owned by a certain group,neutral,0.9264
youtube_comment,"They are like mold
You don't see them until they are in every slice",neutral,0.8154
youtube_comment,what is oracle,neutral,0.9082
youtube_comment,"my history said : OH LOOK A PICTURE I TOOK OF YOU

im scared😭",neutral,0.9043
youtube_comment,they are not evil.,neutral,0.8521
youtube_comment,"There's also a dog named Oracle in the movie Isle of dogs. 
Which also happens to be the name of the island right next to Epstein's Island.",neutral,0.9087
youtube_comment,"Hahahahah 

[Sticker]",neutral,0.8354
youtube_comment,I was at a club during the game awards where people hadn’t played it and they were definitely annoyed about it constantly winning,negative,0.8917
youtube_comment,Oracle is Red Bull it’s just like you watch sport Red Bull go to a market rebdbull you play a game redbul you go to a literal restaurant red bull,neutral,0.9128
youtube_comment,"""Unfortunately the man who cured cancer was found dead after shooting himself 52 times in the back""",negative,0.6453
youtube_comment,Owned by a...,neutral,0.9343
youtube_comment,Sounds like a monopoly that needs to be broken up,neutral,0.9051
youtube_comment,A company I’ve never heard of is running a significantly large portion of the world? That’s not frightening at all!,neutral,0.9204
youtube_comment,Second *known* richest,neutral,0.8451
youtube_comment,Broadcom ahhh problems,neutral,0.8828
youtube_comment,Only hell will be sufficient for evil people like Oracle's CEO!,negative,0.5326
youtube_comment,Where can we learn or get trained for job opportunities,neutral,0.9002
youtube_comment,Mashallah bohut khuch seekhny ko Milla ha,neutral,0.9227
youtube_comment,R12 is better than,positive,0.78
youtube_comment,Too lengthy programme,neutral,0.6163
youtube_comment,you're not describing anything...you're just reding the icons and THINK that's the same as describing....useless.,negative,0.5063
youtube_comment,Hello could you please share a video on how to change the password for Integration user in OIC fusion ERP?😊,neutral,0.9423
youtube_comment,how can i use this dashboard for practice???,neutral,0.9191
youtube_comment,How to get this demo application,neutral,0.9183
youtube_comment,How did I know it was going to be an Indian voice lol 😂,neutral,0.9163
youtube_comment,How to clear gps error in mobile,neutral,0.8991
youtube_comment,Demo user ID and Password ?? Please,neutral,0.9295
youtube_comment,do you have the training videos oracle fusion midleware specially for warehouse work,neutral,0.9429
youtube_comment,how to get fusion instance? anyone can guide?,neutral,0.9299
youtube_comment,Very bad pronounciation and articulation,negative,0.913
youtube_comment,Attendance location kese hake kare,neutral,0.9354
youtube_comment,Can we also change oracle url to custom domain url to my company name.?,neutral,0.9498
youtube_comment,How can we use this dashboard for practice,neutral,0.9275
youtube_comment,"Are you a graduate or post-graduate looking to take your career in finance to the next level? Are you aspiring to work with Top MNCs in India, GCC, and EU? Look no further! ERPduniya is thrilled to present our exclusive Oracle Fusion Finance ERP Online Personalized Training & Job Assistance program, tailored to meet the demands of today's dynamic job market.
📚 Why Choose Oracle Fusion Finance ERP Training with ERPduniya? 📚
✔ Personalized One-to-One Training: We understand that every learner has unique requirements and pace of learning. With our personalized one-to-one training approach, our expert instructors will tailor the curriculum to suit your learning style, ensuring that you grasp the concepts effectively.
✔ Comprehensive Course Curriculum: Our well-structured Oracle Fusion Finance ERP training covers all aspects of the module, from fundamentals to advanced topics, enabling you to become proficient in financial management, accounting, reporting, and more.
✔ Expert Instructors: Learn from seasoned professionals with extensive real-world experience in Oracle Fusion Finance ERP. Gain valuable insights and practical knowledge that will set you apart from the competition.
✔ Job Assistance: Securing your dream job is our priority! Our dedicated job assistance team will support you with interview preparation, resume building, and connect you with leading companies in India, GCC, and EU seeking skilled Oracle Fusion Finance ERP professionals.",neutral,0.7251
youtube_comment,Which screen record software you are using for record your sessions,neutral,0.9384
